ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,NA1E079002,SCUOLA PRIMARIA,1,1,5,17
201920,BG1MV3500S,SCUOLA SECONDARIA I GRADO,1,1,2,3
201920,CE1E01200N,SCUOLA PRIMARIA,1,1,7,5
201920,SAPS8F500U,SCUOLA SECONDARIA II GRADO,1,1,2,1
201920,RMPC19500T,SCUOLA SECONDARIA II GRADO,2,1,10,2
201920,VI1E00600A,SCUOLA PRIMARIA,4,2,19,15
201920,TOPS01500P,SCUOLA SECONDARIA II GRADO,4,1,9,5
201920,MB1E04100V,SCUOLA PRIMARIA,5,2,38,18
201920,SATD04500A,SCUOLA SECONDARIA II GRADO,2,1,3,0
201920,MISL04500B,SCUOLA SECONDARIA II GRADO,3,3,13,61
201920,RM1M087005,SCUOLA SECONDARIA I GRADO,2,1,17,12
201920,MB1E05000N,SCUOLA PRIMARIA,3,2,26,26
201920,PA1E01500X,SCUOLA PRIMARIA,1,1,8,6
201920,COPS04500P,SCUOLA SECONDARIA II GRADO,5,1,6,7
201920,FG1E00300X,SCUOLA PRIMARIA,2,1,6,9
201920,RM1E155009,SCUOLA PRIMARIA,3,2,20,17
201920,VAPSPP500H,SCUOLA SECONDARIA II GRADO,4,1,12,3
201920,NATFTA500I,SCUOLA SECONDARIA II GRADO,1,1,4,8
201920,RE1E008001,SCUOLA PRIMARIA,4,2,25,21
201920,MI1E038006,SCUOLA PRIMARIA,3,1,10,11
201920,RM1E036003,SCUOLA PRIMARIA,1,2,19,17
201920,SSTD00500D,SCUOLA SECONDARIA II GRADO,5,1,8,6
201920,NA1E09100L,SCUOLA PRIMARIA,5,2,12,11
201920,NARF0C5004,SCUOLA SECONDARIA II GRADO,5,2,26,41
201920,SATD2H5007,SCUOLA SECONDARIA II GRADO,4,1,2,1
201920,RM1M11800G,SCUOLA SECONDARIA I GRADO,2,3,44,40
201920,COPL08500X,SCUOLA SECONDARIA II GRADO,4,2,7,17
201920,MI1E08100C,SCUOLA PRIMARIA,4,1,10,7
201920,MBPL73500N,SCUOLA SECONDARIA II GRADO,1,1,5,4
201920,TO1E047001,SCUOLA PRIMARIA,1,1,9,7
201920,LT1E00200R,SCUOLA PRIMARIA,3,1,14,10
201920,KR1M003002,SCUOLA SECONDARIA I GRADO,3,1,6,0
201920,BLPMMN5000,SCUOLA SECONDARIA II GRADO,1,1,4,2
201920,CT1E033001,SCUOLA PRIMARIA,2,2,14,12
201920,CTRHMM500U,SCUOLA SECONDARIA II GRADO,5,1,18,6
201920,SVPS015002,SCUOLA SECONDARIA II GRADO,3,2,10,12
201920,RMRFB3500L,SCUOLA SECONDARIA II GRADO,2,1,3,3
201920,MOPS01500X,SCUOLA SECONDARIA II GRADO,4,1,8,6
201920,MEPS01500B,SCUOLA SECONDARIA II GRADO,2,1,4,4
201920,CTTF04500E,SCUOLA SECONDARIA II GRADO,1,1,1,2
201920,COPLNP500T,SCUOLA SECONDARIA II GRADO,1,1,4,13
201920,BOPS3D500P,SCUOLA SECONDARIA II GRADO,3,1,3,2
201920,RMPS505001,SCUOLA SECONDARIA II GRADO,3,1,11,11
201920,RM1E01300A,SCUOLA PRIMARIA,3,1,16,10
201920,NATL145007,SCUOLA SECONDARIA II GRADO,4,1,3,0
201920,RMPLA95002,SCUOLA SECONDARIA II GRADO,2,1,5,7
201920,CR1E006002,SCUOLA PRIMARIA,1,1,11,5
201920,MI1E05100L,SCUOLA PRIMARIA,5,2,20,18
201920,MO1M001002,SCUOLA SECONDARIA I GRADO,2,1,15,9
201920,BS1M017008,SCUOLA SECONDARIA I GRADO,3,2,29,17
201920,NA1E12500E,SCUOLA PRIMARIA,3,2,16,11
201920,MEPS045007,SCUOLA SECONDARIA II GRADO,3,1,9,2
201920,VA1E010008,SCUOLA PRIMARIA,3,1,8,8
201920,AGSL015004,SCUOLA SECONDARIA II GRADO,5,1,2,5
201920,TO1E00800A,SCUOLA PRIMARIA,5,1,11,7
201920,MIPC10500T,SCUOLA SECONDARIA II GRADO,3,1,9,10
201920,FI1E02900R,SCUOLA PRIMARIA,1,1,8,6
201920,MI1E11900N,SCUOLA PRIMARIA,3,1,10,3
201920,NAPS045004,SCUOLA SECONDARIA II GRADO,2,1,7,11
201920,TVRA3C5009,SCUOLA SECONDARIA II GRADO,5,1,6,7
201920,RGRHL4500A,SCUOLA SECONDARIA II GRADO,4,3,9,2
201920,FG1E010003,SCUOLA PRIMARIA,2,2,10,13
201920,MI1M04300V,SCUOLA SECONDARIA I GRADO,1,2,22,27
201920,MI1M09500G,SCUOLA SECONDARIA I GRADO,3,3,50,36
201920,CT1E053006,SCUOLA PRIMARIA,4,1,7,8
201920,RM1E15800R,SCUOLA PRIMARIA,3,1,8,9
201920,RMRF9P500F,SCUOLA SECONDARIA II GRADO,4,1,2,6
201920,PATD46500D,SCUOLA SECONDARIA II GRADO,5,1,3,2
201920,MO1MSQ500N,SCUOLA SECONDARIA I GRADO,1,1,6,8
201920,FIPL005008,SCUOLA SECONDARIA II GRADO,2,1,3,4
201920,AGTD96500X,SCUOLA SECONDARIA II GRADO,3,1,5,1
201920,CO1E00700P,SCUOLA PRIMARIA,2,1,13,13
201920,RM1E180002,SCUOLA PRIMARIA,1,2,19,14
201920,PSTF005006,SCUOLA SECONDARIA II GRADO,2,1,27,2
201920,FI1E02400N,SCUOLA PRIMARIA,1,1,9,6
201920,PA1E02600A,SCUOLA PRIMARIA,5,1,13,11
201920,NAPMSV500U,SCUOLA SECONDARIA II GRADO,1,1,2,8
201920,MI1E14300E,SCUOLA PRIMARIA,3,1,9,2
201920,NATF15500N,SCUOLA SECONDARIA II GRADO,1,2,3,11
201920,NATDS2500B,SCUOLA SECONDARIA II GRADO,1,1,4,9
201920,RMPC33500X,SCUOLA SECONDARIA II GRADO,4,1,2,6
201920,BSTN01500A,SCUOLA SECONDARIA II GRADO,5,1,8,12
201920,AP1E00100X,SCUOLA PRIMARIA,5,1,8,7
201920,BS1E00600L,SCUOLA PRIMARIA,5,2,17,23
201920,TV1E018009,SCUOLA PRIMARIA,1,1,7,8
201920,RMPLO35009,SCUOLA SECONDARIA II GRADO,3,1,3,3
201920,CE1E05000C,SCUOLA PRIMARIA,2,1,13,11
