ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201718,TS1M003003,SCUOLA SECONDARIA I GRADO,1,21,21,0,0,0
201718,NA1E01100Q,SCUOLA PRIMARIA,1,14,11,3,1,2
201718,CR1E00800N,SCUOLA PRIMARIA,1,10,9,1,0,1
201718,TO1E02600X,SCUOLA PRIMARIA,1,38,34,4,0,4
201718,VAPLDB5003,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
201718,VARH01500A,SCUOLA SECONDARIA II GRADO,2,46,46,0,0,0
201718,MIPS06500Q,SCUOLA SECONDARIA II GRADO,5,60,58,2,0,2
201718,LCRF085005,SCUOLA SECONDARIA II GRADO,3,18,18,0,0,0
201718,RM1E02400R,SCUOLA PRIMARIA,3,34,34,0,0,0
201718,MI1M00900B,SCUOLA SECONDARIA I GRADO,2,80,80,0,0,0
201718,MI1M00700Q,SCUOLA SECONDARIA I GRADO,3,55,53,2,1,1
201718,CZPL925000,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
201718,RMPC135006,SCUOLA SECONDARIA II GRADO,1,5,4,1,0,1
201718,RM1M106009,SCUOLA SECONDARIA I GRADO,2,8,7,1,0,1
201718,BG1M01700Q,SCUOLA SECONDARIA I GRADO,2,14,14,0,0,0
201718,NA1E01200G,SCUOLA PRIMARIA,3,15,14,1,0,1
201718,TO1E02700Q,SCUOLA PRIMARIA,3,59,56,3,1,2
201718,FIPSZD500T,SCUOLA SECONDARIA II GRADO,4,12,12,0,0,0
201718,TO1E004003,SCUOLA PRIMARIA,1,24,24,0,0,0
201718,NAPS03500D,SCUOLA SECONDARIA II GRADO,1,10,10,0,0,0
201718,MIPS09500G,SCUOLA SECONDARIA II GRADO,2,56,55,1,1,0
201718,RMRHRE5002,SCUOLA SECONDARIA II GRADO,1,18,15,3,0,3
201718,MIPM01500Q,SCUOLA SECONDARIA II GRADO,4,25,25,0,0,0
201718,RMPS49500G,SCUOLA SECONDARIA II GRADO,3,28,28,0,0,0
201718,VA1M00600T,SCUOLA SECONDARIA I GRADO,1,33,33,0,0,0
201718,MI1E11800T,SCUOLA PRIMARIA,3,25,24,1,0,1
201718,RM1E01200E,SCUOLA PRIMARIA,1,26,26,0,0,0
201718,NA1E185006,SCUOLA PRIMARIA,5,14,14,0,0,0
201718,NATD51500C,SCUOLA SECONDARIA II GRADO,4,14,14,0,0,0
201718,SSTD02500P,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
201718,METDP0500I,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
201718,PTPS3N5004,SCUOLA SECONDARIA II GRADO,3,28,27,1,0,1
201718,VI1E007006,SCUOLA PRIMARIA,5,26,26,0,0,0
201718,NA1E12000B,SCUOLA PRIMARIA,2,5,5,0,0,0
201718,FITE00500R,SCUOLA SECONDARIA II GRADO,5,20,19,1,0,1
201718,PD1E006001,SCUOLA PRIMARIA,5,23,22,1,0,1
201718,PARCUI5005,SCUOLA SECONDARIA II GRADO,1,9,9,0,0,0
201718,BG1E02500D,SCUOLA PRIMARIA,4,29,29,0,0,0
201718,FI1M001006,SCUOLA SECONDARIA I GRADO,1,24,21,3,0,3
201718,CNTFR0500N,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
201718,NARH25500E,SCUOLA SECONDARIA II GRADO,4,15,15,0,0,0
201718,PD1E076018,SCUOLA PRIMARIA,3,22,22,0,0,0
201718,BGTF015006,SCUOLA SECONDARIA II GRADO,5,13,13,0,0,0
201718,CA1E00600X,SCUOLA PRIMARIA,4,31,28,3,2,1
201718,PA1E02000B,SCUOLA PRIMARIA,2,11,11,0,0,0
201718,MI1E12800C,SCUOLA PRIMARIA,3,35,35,0,0,0
201718,RM1M02600N,SCUOLA SECONDARIA I GRADO,1,27,27,0,0,0
201718,GE1E027002,SCUOLA PRIMARIA,3,23,22,1,0,1
201718,FI1E00400C,SCUOLA PRIMARIA,5,25,24,1,1,0
201718,SV1E006002,SCUOLA PRIMARIA,4,11,11,0,0,0
201718,PEPL045006,SCUOLA SECONDARIA II GRADO,5,11,11,0,0,0
201718,CO1E013002,SCUOLA PRIMARIA,4,38,37,1,0,1
201718,RM1E11800A,SCUOLA PRIMARIA,3,23,23,0,0,0
201718,CA1E00800G,SCUOLA PRIMARIA,1,52,49,3,0,3
201718,CTPS125004,SCUOLA SECONDARIA II GRADO,5,11,11,0,0,0
201718,CS1E008005,SCUOLA PRIMARIA,5,19,18,1,0,1
201718,MIPSIE500B,SCUOLA SECONDARIA II GRADO,5,12,10,2,0,2
201718,NA1E17300X,SCUOLA PRIMARIA,5,10,10,0,0,0
201718,MESL0P500H,SCUOLA SECONDARIA II GRADO,1,3,2,1,0,1
201718,VR1M00900B,SCUOLA SECONDARIA I GRADO,2,7,6,1,1,0
201718,VRPM27500E,SCUOLA SECONDARIA II GRADO,4,22,21,1,0,1
201718,TOPQ04500Q,SCUOLA SECONDARIA II GRADO,2,31,30,1,0,1
201718,LISL015002,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201718,CO1M02300T,SCUOLA SECONDARIA I GRADO,2,14,13,1,0,1
