ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202122,NA1E022006,SCUOLA PRIMARIA,1,2,25,26
202122,GE1E00800L,SCUOLA PRIMARIA,2,1,4,10
202122,CO1EMI5009,SCUOLA PRIMARIA,2,1,11,9
202122,TO1M02900L,SCUOLA SECONDARIA I GRADO,1,1,5,10
202122,TO1M01400V,SCUOLA SECONDARIA I GRADO,3,2,12,14
202122,VR1E011006,SCUOLA PRIMARIA,1,1,9,14
202122,VR1E003007,SCUOLA PRIMARIA,3,1,9,5
202122,VA1E9G500A,SCUOLA PRIMARIA,1,1,10,7
202122,RMTD325008,SCUOLA SECONDARIA II GRADO,1,1,1,0
202122,PGPS00500G,SCUOLA SECONDARIA II GRADO,5,1,10,4
202122,SATD30500E,SCUOLA SECONDARIA II GRADO,2,1,1,1
202122,RCRI015009,SCUOLA SECONDARIA II GRADO,4,1,3,1
202122,RMTD43500Q,SCUOLA SECONDARIA II GRADO,3,1,1,1
202122,UD1M008008,SCUOLA SECONDARIA I GRADO,1,2,14,26
202122,NO1E00200X,SCUOLA PRIMARIA,5,2,23,14
202122,NOPS03500C,SCUOLA SECONDARIA II GRADO,4,2,30,18
202122,MNPC015004,SCUOLA SECONDARIA II GRADO,5,1,6,3
202122,FG1E01300E,SCUOLA PRIMARIA,4,1,10,10
202122,BOPSPI500D,SCUOLA SECONDARIA II GRADO,5,1,18,3
202122,FG1E01400A,SCUOLA PRIMARIA,5,2,19,4
202122,RM1E180002,SCUOLA PRIMARIA,5,2,20,16
202122,RM1E16700G,SCUOLA PRIMARIA,5,1,11,19
202122,BG1E001001,SCUOLA PRIMARIA,1,2,24,24
202122,RM1M010004,SCUOLA SECONDARIA I GRADO,1,1,12,15
202122,PATD205004,SCUOLA SECONDARIA II GRADO,4,2,8,1
202122,NATDZR500T,SCUOLA SECONDARIA II GRADO,1,1,2,15
202122,GE1E018007,SCUOLA PRIMARIA,2,1,12,10
202122,TV1E01700D,SCUOLA PRIMARIA,2,2,20,22
202122,CTPS125004,SCUOLA SECONDARIA II GRADO,1,1,1,0
202122,TO1MB25008,SCUOLA SECONDARIA I GRADO,1,2,14,16
202122,CSTD71500B,SCUOLA SECONDARIA II GRADO,1,1,2,2
202122,CTPSPS5003,SCUOLA SECONDARIA II GRADO,2,1,5,1
202122,CT1E024006,SCUOLA PRIMARIA,5,1,12,10
202122,TOPLRN500U,SCUOLA SECONDARIA II GRADO,5,1,1,2
202122,MI1E06600A,SCUOLA PRIMARIA,2,3,25,30
202122,SATDVQ500D,SCUOLA SECONDARIA II GRADO,3,1,3,4
202122,RM1E11500V,SCUOLA PRIMARIA,1,4,49,31
202122,RM1E11000Q,SCUOLA PRIMARIA,1,2,17,18
202122,MB1M011008,SCUOLA SECONDARIA I GRADO,2,1,9,10
202122,BGPC05500B,SCUOLA SECONDARIA II GRADO,5,1,7,12
202122,CH1E00400B,SCUOLA PRIMARIA,3,1,5,3
202122,NO1E00400G,SCUOLA PRIMARIA,1,3,27,34
202122,MB1E128009,SCUOLA PRIMARIA,4,2,18,17
202122,FIPS08500A,SCUOLA SECONDARIA II GRADO,3,1,12,8
202122,BSPS2M500I,SCUOLA SECONDARIA II GRADO,3,1,10,10
202122,COPSUC5004,SCUOLA SECONDARIA II GRADO,5,2,20,12
202122,RMTND1500F,SCUOLA SECONDARIA II GRADO,4,1,3,2
202122,RMTD77500R,SCUOLA SECONDARIA II GRADO,5,2,44,17
202122,BATD105005,SCUOLA SECONDARIA II GRADO,5,2,24,15
202122,TAPS02500A,SCUOLA SECONDARIA II GRADO,2,1,4,0
202122,SARFMI5004,SCUOLA SECONDARIA II GRADO,1,1,1,0
202122,CE1E022008,SCUOLA PRIMARIA,4,2,14,14
202122,CE1E04700L,SCUOLA PRIMARIA,1,1,3,7
202122,LTPLCG500C,SCUOLA SECONDARIA II GRADO,4,1,2,5
202122,CO1E00900A,SCUOLA PRIMARIA,3,2,25,16
202122,LU1EM35005,SCUOLA PRIMARIA,1,1,8,13
202122,RM1ES55005,SCUOLA PRIMARIA,3,1,8,7
202122,VAPSDE500S,SCUOLA SECONDARIA II GRADO,1,1,13,9
202122,BRTD04500A,SCUOLA SECONDARIA II GRADO,3,1,4,1
202122,MI1E016009,SCUOLA PRIMARIA,2,2,10,16
202122,RM1E106004,SCUOLA PRIMARIA,2,1,24,0
202122,RMRF00500V,SCUOLA SECONDARIA II GRADO,3,1,0,4
202122,VI1E01300D,SCUOLA PRIMARIA,1,1,11,10
202122,PD1M00500A,SCUOLA SECONDARIA I GRADO,2,1,17,10
202122,CERI59500T,SCUOLA SECONDARIA II GRADO,5,2,9,53
202122,BSPMNI500T,SCUOLA SECONDARIA II GRADO,4,2,10,24
202122,NA1M02600P,SCUOLA SECONDARIA I GRADO,1,1,6,9
202122,AQ1E00500T,SCUOLA PRIMARIA,2,1,11,13
202122,VARFS2500Z,SCUOLA SECONDARIA II GRADO,5,1,2,17
202122,RM1E143003,SCUOLA PRIMARIA,2,1,15,11
202122,RM1E02400R,SCUOLA PRIMARIA,4,2,19,21
202122,PR1M010004,SCUOLA SECONDARIA I GRADO,2,2,23,22
202122,NA1E007004,SCUOLA PRIMARIA,4,1,7,9
202122,LCPL025002,SCUOLA SECONDARIA II GRADO,2,1,5,5
202122,MO1E00300C,SCUOLA PRIMARIA,2,2,32,24
202122,TO1E00600P,SCUOLA PRIMARIA,2,1,9,11
202122,MI1M063004,SCUOLA SECONDARIA I GRADO,3,4,74,44
202122,BA1E02500C,SCUOLA PRIMARIA,3,1,6,5
202122,CETF4P500Q,SCUOLA SECONDARIA II GRADO,5,4,76,57
202122,CETD43500Q,SCUOLA SECONDARIA II GRADO,3,1,5,4
202122,SASLFZ5001,SCUOLA SECONDARIA II GRADO,5,2,20,30
202122,BS1E016007,SCUOLA PRIMARIA,4,1,6,10
202122,FI1M01200L,SCUOLA SECONDARIA I GRADO,3,1,8,13
202122,NA1MU75009,SCUOLA SECONDARIA I GRADO,1,1,6,3
202122,MI1E08400X,SCUOLA PRIMARIA,1,1,14,4
202122,CO1E013002,SCUOLA PRIMARIA,1,2,18,12
202122,VR1M026005,SCUOLA SECONDARIA I GRADO,1,3,20,28
202122,VITB15500E,SCUOLA SECONDARIA II GRADO,5,1,7,0
202122,RMSLVB5007,SCUOLA SECONDARIA II GRADO,5,2,14,34
202122,VRPS01500P,SCUOLA SECONDARIA II GRADO,5,2,21,12
202122,VA1E02200E,SCUOLA PRIMARIA,3,2,12,17
202122,BGPSDM500A,SCUOLA SECONDARIA II GRADO,1,1,15,9
202122,PDTD01500R,SCUOLA SECONDARIA II GRADO,5,1,17,3
