ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,RM1E07000E,SCUOLA PRIMARIA,3,47,47,0,0,0
201516,CN1M001008,SCUOLA SECONDARIA I GRADO,3,24,22,2,0,2
201516,BGTL075002,SCUOLA SECONDARIA II GRADO,2,5,4,1,0,1
201516,MOPS02500E,SCUOLA SECONDARIA II GRADO,4,27,27,0,0,0
201516,CE1E008002,SCUOLA PRIMARIA,4,18,18,0,0,0
201516,PATD24500E,SCUOLA SECONDARIA II GRADO,5,27,27,0,0,0
201516,CS1MUP500H,SCUOLA SECONDARIA I GRADO,2,32,32,0,0,0
201516,CRPL02500B,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
201516,NAPC095002,SCUOLA SECONDARIA II GRADO,4,23,23,0,0,0
201516,NA1E14600G,SCUOLA PRIMARIA,4,20,20,0,0,0
201516,RMPS27500L,SCUOLA SECONDARIA II GRADO,2,16,9,7,0,7
201516,TATF02500C,SCUOLA SECONDARIA II GRADO,1,13,12,1,0,1
201516,BSPS2M500I,SCUOLA SECONDARIA II GRADO,2,18,17,1,1,0
201516,PDPM00500B,SCUOLA SECONDARIA II GRADO,1,41,39,2,2,0
201516,PG1E00500A,SCUOLA PRIMARIA,3,18,17,1,1,0
201516,SSTD015004,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
201516,AV1E007009,SCUOLA PRIMARIA,3,37,37,0,0,0
201516,RMPL07500N,SCUOLA SECONDARIA II GRADO,5,45,45,0,0,0
201516,SARHV4500U,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
201516,BG1E022002,SCUOLA PRIMARIA,4,22,22,0,0,0
201516,BGPMNC5002,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
201516,NAPC285005,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
201516,SA1E02800G,SCUOLA PRIMARIA,5,11,11,0,0,0
201516,VIPM03500L,SCUOLA SECONDARIA II GRADO,3,14,13,1,0,1
201516,RMPS59500C,SCUOLA SECONDARIA II GRADO,4,6,6,0,0,0
201516,RM1M079006,SCUOLA SECONDARIA I GRADO,3,33,32,1,0,1
201516,FIPS08500A,SCUOLA SECONDARIA II GRADO,3,14,14,0,0,0
201516,GE1E00700R,SCUOLA PRIMARIA,5,37,37,0,0,0
201516,PA1E04100C,SCUOLA PRIMARIA,3,21,20,1,0,1
201516,MI1E016009,SCUOLA PRIMARIA,5,44,43,1,0,1
201516,GE1M00500A,SCUOLA SECONDARIA I GRADO,3,30,29,1,0,1
201516,FI1E01000Q,SCUOLA PRIMARIA,5,22,22,0,0,0
201516,BG1E022002,SCUOLA PRIMARIA,1,12,12,0,0,0
